"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","IAGMIN","IUTIL","ICONS","IMANU","IWHOLE","IRETAIL","ITRANS","IPROFSER","IREALE","IEDU","IHEALTH","IART","IACCO","HS1I","HS2I","HS3I"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L4WI","0.287990417715705","0","-0.00432346212590719","-0.0107628981299896","-0.00858253846178324","-0.00692073373853538","0.0166845952318358","0","-0.00211279810034081","0.000317432537750044","0.00471118085193658","0.00126316007763057","0","-0.000235339955662185","-0.00552637191623447","-0.00181401554169641","-0.00258687995775385"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L1BI","0.113271902896988","0","-0.00083585153973733","-0.00634750561273808","-0.000452841350306215","-0.00109455268984637","0.0105953541658452","-5.7776288306737e-05","-0.00112311842267464","-0.000952796302571694","0.00111535284604545","0.000518647233860307","0","0.00470916777212567","-0.00388436825435815","-0.00125929613855997","-0.00181735491994854"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L2BI","1.05843887944076","-0.00082329181730972","-0.00771554012417184","-0.0425951594234477","-0.00404723644356377","-0.0100808744607307","0.0609681695428833","-0.00666545895941031","-0.00538417597697538","-0.00124861878920373","0.00974748011004035","0.0039076684385131","0.00408035745983667","0.0137060195630861","-0.0247371635971358","-0.00770387598080268","-0.011119697337264"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L3BI","0.0142639058406354","0","-0.00145752784105482","-0.00334423105787597","-0.00131640914699383","-0.00264930421129497","0.00633004065146124","0","-0.000580242633374386","-0.000596507963425011","0.00109801691761005","0.000337278121327287","0","-0.000133261954180648","-0.00238980157113049","-0.000798077922298482","-0.0011484475039609"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L4BI","0.0616279856584407","0","-0.000833820274075318","-0.00423098419616694","-0.00152063491129474","-0.000938602038833849","0.00740434874741253","0","-0.000858348792061009","-0.000814465965355246","0.00179348849010955","1.91110828409468e-05","0","-0.000236769305689703","-0.00308407388060234","-0.0010121037222246","-0.00145966932168013"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L1HI","0.778040567417638","0","-0.00579143298260172","-0.0304897643011395","-0.00386702916448286","-0.00720300963526562","0.0441988572494417","-0.00465142748013426","-0.00390922748364275","-0.00362068484982405","0.0052967218074584","0.000526043125255913","0.00889206223545652","0.0211073969906441","-0.01758417933314","-0.00548265922112047","-0.00791393046165408"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L2HI","0.291779676662508","0","-0.00887606599479104","-0.0143827393234721","-0.00219348974299106","-0.00170412737034175","0.0194098658451417","-0.000947265084857876","-0.0019098493522462","-0.00155808064680444","0.0021039910631659","0.000520349166490675","0","0.0110394577706029","-0.00702372678022935","-0.0022756024845894","-0.00325204023397674"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L3HI","0.0367550434225512","0","-0.000688896210253015","-0.00248779373516614","-0.000214755793167256","-0.00045501857712236","0.00355859581818962","0","-0.000174310498774746","0.000309698901860072","0.00075764107980768","0","0","0","-0.00104793252030516","-0.000388963494049808","-0.000552872444540963"
"Galveston","hurricane","sector_model","DFFD _ IRETAIL_L4HI","0.0300760271097426","0","-8.63071769265525e-05","-0.00501730688769201","-0.00273198178336617","0","0.00462096200916231","0","-0.000628080863091091","-6.18301798129969e-05","0","0.000685838967718552","0","0","-0.00130396566657153","-0.000513563745909594","-0.000704515005140793"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L1WI","-0.158433898127406","0","-0.000624626298981516","-0.000818283895846382","-0.00473611401092427","-0.00499100177489219","-0.00349380446216135","-0.00263154241360997","-0.00138216333623084","0","0.00141156618233629","0","0.00140689292219584","0.00821345790777715","-0.00135598509390885","-0.000473966573110896","-0.00067355092587082"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L2WI","0.187536064517211","0","-0.00774645483205811","-0.00710401437178173","-0.0294643665385419","-0.0377750763730031","-0.0158572419478692","-0.0152828086251235","-0.00834278580644168","0.00247416699650481","0.0182153957259867","0.00079604386811582","0.00213122766263483","0.00654766799556357","-0.00709616476316889","-0.00229781144085747","-0.0032882994646091"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L3WI","0.236872032344383","0","-0.0122197744567461","-0.00639247668688238","-0.0313969158480284","-0.0284344416687345","-0.0124677285331155","-0.0157175546418957","-0.00847431567446028","-1.08128816030528e-05","0.0227108019972267","0.00128350672725061","0","0.00129988996272952","-0.00797161115249925","-0.00251444092067213","-0.00363997993046408"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L4WI","-0.131946044285426","7.34289839726091e-05","-0.00605806125184779","-0.00236532721616839","-0.0197511956571498","-0.0143283733517923","-0.00335514651424685","-0.00357637339451366","-0.00348287952850975","0.00287513894456596","0.00770140659590812","0.00173649493170624","0","0","-0.00199026772048714","-0.000720822396889622","-0.000997056875077237"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L1BI","-0.178284648200132","0","0","0","-0.000940934302299631","-0.000318841916992153","-0.000726032663809133","-0.000227389676790882","-0.000360135323819944","0","0.000378394483972092","7.95050991713948e-05","0","0.00162762196761703","-0.000259283336452717","-0.000109411690519465","-0.000165448559458776"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L2BI","-0.200155164212395","0","-0.00124666930608312","-0.000115453356201488","-0.00607063590290436","-0.00499688263039297","-0.0057343397874567","-0.00355993969941401","-0.00162005960646681","0.000903088431671565","0.00279913813413172","0.000719400955987978","0.000277479627265504","0.00428341105297048","-0.00166207037607904","-0.000546155750191935","-0.000797806772197645"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L3BI","-0.36170750604223","0","-0.00776490665465533","-0.000758614939871023","-0.0157631252623514","-0.0203402793976406","-0.0058791644425907","-0.00555529536638141","-0.00358954519827436","-0.000718915992717659","0.00735672812119773","0.00225905875361097","0","-0.000535939528790629","-0.00433533822972863","-0.00140308803084243","-0.0020101312079689"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L4BI","-0.267771694628214","0","-0.000416578804778491","0","-0.00272063727049172","-0.00121400598732774","-0.00134736331472771","-0.000700111363528593","-0.000714909298300873","0","0.00153156184162605","0","0","-6.61584420065999e-05","-0.000806255437034371","-0.000278234136904568","-0.000411450403704137"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L1HI","-0.102787249532382","0","0","0","-0.000145126089360157","0","-0.000158659665409708","0","-2.60016518048878e-05","0","1.7626863448165e-05","0","0","0.000324613236871136","-8.80125753221677e-06","-2.11932021641189e-05","-3.57139117646521e-05"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L2HI","-0.173016642500876","0","-0.00426341439317925","-0.00154086780443029","-0.00369067004431476","-0.00182058445973422","-0.00168072623103247","-0.00150586854458038","-0.00105449674715759","0","0.00119395575787689","0.000131030111298293","0","0.00616265733137093","-0.000927477140608911","-0.000353656270024196","-0.000497432178379672"
"Galveston","hurricane","sector_model","DFFD _ ITRANS_L3HI","-0.0560658452748542","0","-0.0105418307372772","-0.0136041796698907","-0.0149668261498602","-0.0165800366057978","-0.00496778530679563","-0.00820547761953843","-0.0033449586219909","0.0120507557125389","0.0132826060411684","0.000913143062565944","0.000800795980010939","0","-0.00380696316922478","-0.00141301526248807","-0.00192147356578679"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L1WI","-0.0416292261934072","0","-7.42646777642209e-05","-0.00360593908886475","-0.0043703713899199","-0.0125096005020539","-0.0133688037063261","-0.00638735463606118","0.0286547364682166","-0.00888623781397458","0.00345190071929904","-0.00867133920324455","0","0.0340637307791447","-0.00848443004829174","-0.002760719204267","-0.00386544818063035"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L2WI","0.137076369713092","0","-0.00309040232067723","-0.00609384806840071","-0.00972096844079205","-0.0234395519984345","-0.0134005215779164","-0.00652385227716602","0.0318608133296677","-0.00767231409992332","0.0151823557999781","-0.00921055162330934","-0.00629880678299","0.0018105824223089","-0.00930281817479606","-0.00302864054658294","-0.00429711969235467"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L3WI","0.85296314570499","0","-0.019537981665804","-0.0137053833483078","-0.0311781385432785","-0.0362620463162319","-0.0234884057602076","-0.018618886465072","0.0668467835392789","-0.0237564454192897","0.0474743903168319","-0.0187508828857595","-0.0239035313861013","-0.00735715778607252","-0.0238360669494554","-0.00749441585583898","-0.0107416908333392"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L4WI","0.329631105936434","0.0350110202469306","-0.0205190748980074","-0.00978385895497355","-0.0583932752015946","-0.0439771041126692","-0.010279068732268","-0.00573509587547702","0.0378072260189765","-0.000427473527901437","0.0287830952577976","-0.00516665546898784","-0.0139825343307144","-0.00682735156313715","-0.0114315382726583","-0.00395920748464587","-0.00543150994621726"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L1BI","-0.202942173180316","0","0","-0.000142645852725244","-0.00114368000966","-0.00145160822110129","-0.00410343489289913","-0.00198706479814337","0.00951600120744148","-0.00359228697515174","0.00198623471275686","-0.00162933444885264","-0.00265245579229179","0.0102031747241131","-0.00303007078677482","-0.000994628639605317","-0.0014268615580058"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L2BI","-0.177889424816342","0","-7.14903005094806e-05","0","-0.00116216524319957","-0.00124020102019397","-0.0055845798317503","-0.00161417150522215","0.00910005401887406","-0.00145282161264077","0.0020522071038605","-0.0015998808384361","-0.000857372253571535","0.00349724549793835","-0.00234198429171723","-0.000786202498166844","-0.00112726555875676"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L3BI","-0.30626120337965","0","-0.00420263714831494","0","-0.00539149437473474","-0.010062644228979","-0.00339477743708243","-0.00117223826148738","0.00946792687029766","-0.00379715729482219","0.00422929509977755","-0.00107818305302094","-0.00287348544849353","-0.00189810043347353","-0.00372673385334356","-0.00123331158625068","-0.00175483114530906"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L4BI","-0.212928405767218","0","-0.000345077925876846","0","-0.00257258659969144","-0.00077761844302177","-0.00232815404791741","-0.000687055941359139","0.00466450062526066","-0.00197776183200751","0.00273620546551246","-0.00119381551079396","-0.00115995006477582","-0.00101317221579889","-0.00205785274167494","-0.000693292839622443","-0.000997449628999008"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L1HI","-0.0592618294634422","0","-0.00110551798678794","-0.00160696993797667","-0.00340564689013169","-0.00406472301656623","-0.0075373893769957","-0.00394548948815446","0.0167925133727133","-0.00555516195664798","0.00293161040074212","-0.00503829876713342","0.00145646989931186","0.0175603146902841","-0.00548283543904225","-0.0017603971095931","-0.00251746244395341"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L2HI","-0.0556151750034401","0","-0.0220465938696932","-0.00900549335858369","-0.0067778360245366","-0.00295819839064568","-0.00714009828526621","-0.00491574505926154","0.0221246227761288","-0.00799176327209343","0.00439947164870784","-0.00575576796367448","-0.00642843260330642","0.0313277781309627","-0.00721253345480227","-0.00243336358308966","-0.00338532541962334"
"Galveston","hurricane","sector_model","DFFD _ IPROFSER_L3HI","-0.1149036007125","0","-0.00321857200103684","-0.00505867142130752","-0.00164015089605504","-0.00289926243248065","-0.0013664578282025","-0.00104721226926656","0.0074582348045837","0.00256477937482076","0.0046282541283499","-0.00162741033351647","-0.000838639235724025","-0.000968997523524506","-0.00189852594541215","-0.000728991831650497","-0.000994180087013366"
